1,6,3,1,"[7, 11, 13]"
9,12,3,2,"[31, 41, 37]"
11,9,3,1,"[47, 53, 43]"
5,54,3,2,"[59, 71, 67]"
42,17,4,3,"[59, 67, 73, 71]"
53,2,3,1,"[59, 71, 83]"
24,45,3,1,"[61, 59, 71]"
33,42,3,1,"[61, 47, 53]"
42,17,3,3,"[67, 73, 71]"
42,17,3,3,"[71, 67, 73]"
37,31,3,1,"[73, 83, 79]"
42,17,3,3,"[73, 71, 67]"
19,7,3,1,"[79, 97, 103]"
48,48,3,2,"[79, 67, 61]"
56,66,3,2,"[79, 71, 67]"
76,56,3,1,"[79, 97, 103]"
13,68,3,1,"[83, 79, 89]"
14,52,3,1,"[83, 89, 103]"
33,72,3,1,"[89, 83, 79]"
50,50,3,2,"[89, 97, 103]"
70,82,3,2,"[89, 97, 107]"
0,7,3,2,"[97, 79, 67]"
8,15,3,3,"[97, 101, 107]"
56,29,3,2,"[97, 103, 89]"
75,10,3,2,"[97, 89, 83]"
87,61,3,2,"[97, 101, 109]"
2,65,3,2,"[101, 97, 107]"
6,79,3,1,"[101, 89, 103]"
8,15,3,3,"[101, 107, 97]"
13,68,4,1,"[101, 83, 79, 89]"
46,63,3,2,"[101, 113, 103]"
74,45,3,3,"[101, 107, 103]"
27,39,3,1,"[103, 97, 107]"
60,47,3,1,"[103, 97, 83]"
74,45,3,3,"[103, 101, 107]"
78,7,3,1,"[103, 107, 101]"
8,15,3,3,"[107, 97, 101]"
59,50,3,1,"[107, 97, 89]"
74,45,3,3,"[107, 103, 101]"
95,74,3,2,"[107, 97, 109]"
49,33,3,1,"[109, 101, 103]"
49,33,3,1,"[113, 101, 103]"
13,29,3,1,"[127, 137, 151]"
41,33,3,2,"[127, 113, 109]"
47,35,3,3,"[131, 149, 139]"
97,23,3,3,"[131, 137, 139]"
29,89,3,1,"[137, 151, 167]"
29,134,3,2,"[137, 149, 151]"
34,130,3,2,"[137, 157, 151]"
63,66,3,1,"[137, 157, 163]"
85,64,3,2,"[137, 139, 149]"
89,11,3,1,"[137, 139, 131]"
91,106,3,2,"[137, 151, 149]"
97,23,3,3,"[137, 139, 131]"
112,8,3,2,"[137, 139, 127]"
47,35,3,3,"[139, 131, 149]"
97,23,3,3,"[139, 131, 137]"
47,35,3,3,"[149, 139, 131]"
72,122,3,2,"[151, 167, 157]"
1,4,3,1,"[157, 151, 163]"
32,49,3,1,"[157, 139, 151]"
74,28,3,2,"[157, 173, 167]"
112,48,3,2,"[157, 167, 163]"
151,147,3,1,"[157, 181, 199]"
156,154,3,2,"[157, 179, 193]"
