2,1,5,7
6,9,13,17
10,12,13,19
2,17,31,41
13,11,31,37
14,14,31,37
15,18,31,37
4,15,37,47
8,34,37,41
9,12,37,41
14,12,37,43
31,12,37,43
34,9,37,41
12,26,41,47
24,35,41,47
12,24,47,59
20,29,53,59
30,6,53,59
31,45,53,67
40,15,59,61
12,12,61,67
12,20,61,73
27,30,61,67
39,26,61,67
45,27,61,67
46,30,61,67
48,48,61,67
5,54,67,71
7,61,67,73
17,59,67,71
26,66,67,79
28,26,67,73
32,60,67,73
53,4,67,73
56,29,67,79
56,66,67,71
59,53,67,79
66,33,67,73
6,21,71,73
23,30,71,73
26,1,71,73
38,19,71,79
69,39,73,83
6,27,79,83
77,17,79,83
75,10,83,89
12,27,89,103
56,29,89,103
2,65,97,107
3,82,97,101
10,81,97,101
31,80,97,107
34,53,97,101
38,31,97,101
50,50,97,103
53,87,97,107
66,93,97,107
68,92,97,103
70,82,97,107
78,78,97,107
95,74,97,109
1,55,101,109
4,66,101,113
8,38,101,107
16,32,101,109
16,86,101,109
18,99,101,107
42,5,101,113
71,57,101,109
78,8,101,109
81,2,101,109
87,40,101,109
87,61,101,109
88,28,101,109
91,2,101,107
12,41,103,109
24,91,103,109
39,4,103,109
46,63,103,113
55,39,103,109
57,72,103,109
95,1,103,109
62,93,107,109
79,7,107,109
0,91,109,127
23,101,109,113
41,33,109,113
47,108,109,127
21,7,113,131
39,22,113,127
24,46,127,131
49,72,127,139
52,59,127,139
66,94,127,139
79,110,127,139
83,44,127,131
99,59,127,139
112,8,127,139
27,67,131,139
31,103,131,137
85,87,131,137
69,130,137,151
97,48,137,151
29,97,139,157
39,65,139,149
55,108,139,157
61,127,139,151
71,28,139,151
77,98,139,151
85,64,139,149
96,120,139,151
134,9,139,151
29,134,149,151
52,74,149,157
91,106,149,151
94,96,149,157
138,13,149,167
1,120,151,157
3,139,151,163
4,34,151,157
7,45,151,163
7,136,151,163
9,82,151,157
9,137,151,157
11,99,151,157
16,6,151,157
34,130,151,157
35,84,151,157
37,80,151,157
38,49,151,157
39,5,151,167
47,88,151,157
48,58,151,163
60,144,151,163
63,104,151,157
75,20,151,157
100,22,151,157
111,97,151,163
12,33,157,163
12,61,157,163
17,151,157,163
23,32,157,173
42,30,157,163
46,78,157,181
52,5,157,163
54,150,157,173
72,122,157,167
75,129,157,181
106,136,157,163
120,37,157,163
124,25,157,163
147,57,157,163
0,66,163,181
19,100,163,173
25,74,163,173
31,142,163,167
32,84,163,173
35,143,163,173
46,55,163,173
52,111,163,167
53,120,163,179
61,36,163,167
67,71,163,167
67,144,163,173
112,48,163,167
113,56,163,173
140,17,163,181
2,89,167,181
11,71,167,173
22,80,167,179
47,84,167,181
74,28,167,173
120,122,167,181
127,140,167,179
