5,2,10
7,3,13
11,6,18
13,7,21
17,10,26
19,12,28
23,15,33
29,20,40
31,21,43
37,26,50
41,30,54
43,31,57
47,35,61
53,40,68
59,45,75
61,47,77
67,52,84
71,56,88
73,57,91
79,63,97
83,66,102
89,72,108
97,79,117
101,82,122
103,84,124
107,88,128
109,90,130
113,93,135
127,106,150
131,110,154
137,115,161
139,117,163
149,126,174
151,128,176
157,133,183
163,139,189
167,143,193
173,148,200
179,154,206
181,156,208
191,165,219
193,167,221
197,170,226
199,172,228
211,183,241
223,195,253
227,198,258
229,200,260
233,204,264
239,210,270
241,211,273
251,221,283
257,226,290
263,232,296
269,238,302
271,240,304
277,245,311
281,249,315
283,251,317
293,260,328
307,273,343
311,277,347
313,279,349
317,283,353
331,296,368
337,302,374
347,311,385
349,313,387
353,317,391
