5,7,1
13,17,1
13,19,1
31,41,1
31,37,3
37,47,1
37,41,3
37,43,2
41,47,2
47,59,1
53,59,2
53,67,1
59,61,1
61,67,6
61,73,1
67,71,3
67,73,5
67,79,3
71,73,3
71,79,1
73,83,1
79,83,2
83,89,1
89,103,2
97,107,6
97,101,4
97,103,2
97,109,1
101,109,9
101,113,2
101,107,3
103,109,6
103,113,1
107,109,2
109,127,2
109,113,2
113,131,1
113,127,1
127,131,2
127,139,6
131,139,1
131,137,2
137,151,2
139,157,2
139,149,2
139,151,5
149,151,2
149,157,2
149,167,1
151,157,14
151,163,6
151,167,1
157,163,9
157,173,2
157,181,2
157,167,1
163,181,2
163,173,7
163,167,5
163,179,1
167,181,4
167,173,3
167,179,2
167,191,1
167,193,1
173,181,3
173,191,1
173,193,2
173,179,3
179,193,4
179,191,3
179,181,4
179,199,3
179,197,1
181,199,4
181,193,7
181,191,1
191,197,11
191,193,2
191,211,1
191,199,2
193,211,4
193,197,6
193,199,11
197,199,9
197,211,5
199,211,14
199,227,1
211,229,6
211,227,4
211,223,2
211,233,1
223,229,12
223,239,4
223,241,5
223,233,12
223,227,2
227,241,11
227,251,1
227,229,3
227,233,4
227,239,3
229,239,9
229,251,10
229,241,5
229,257,1
233,239,2
233,263,1
233,251,1
233,241,1
239,251,11
239,257,3
239,241,6
239,263,1
239,269,1
241,263,8
241,251,3
241,269,3
241,257,4
251,269,3
251,271,1
251,257,14
251,277,1
257,263,8
257,271,9
257,283,1
257,277,4
257,281,2
257,269,1
263,271,2
263,281,3
263,269,4
263,283,3
263,277,3
263,293,1
269,277,3
269,283,3
269,271,12
269,281,7
269,293,1
271,277,7
271,283,23
271,281,2
271,293,1
277,283,12
277,281,17
277,293,6
281,307,5
281,293,2
281,283,7
281,311,2
283,293,3
283,307,3
283,311,2
283,313,2
293,313,16
293,317,2
293,311,2
307,331,30
307,337,8
307,317,8
307,313,9
307,311,4
311,317,5
311,337,5
311,331,2
313,331,26
313,317,5
313,337,3
317,349,1
317,347,3
317,337,5
317,331,8
331,349,24
331,337,13
331,353,5
331,347,6
337,349,3
337,347,12
337,353,6
347,353,7
347,349,3
349,353,2
