346694,405304,[604753],1,1
110155,37397,[149759],1,1
532317,266334,[808147],1,1
95440,69828,[122579],1,1
85824,107925,[190507],1,1
203944,284152,"[290791, 291013]",2,2
223197,59020,[686687],1,1
151220,9316,[217157],1,1
93708,35911,[135403],1,1
146629,165528,[196597],1,1
41540,18943,[163973],1,1
455778,254669,[504209],1,1
7653,97224,[351529],1,1
199114,171695,[397489],1,1
284366,292712,"[414049, 414131]",2,2
411092,184488,"[872369, 872953]",2,2
531760,90351,[565163],1,1
751941,496480,[968593],1,1
3174,56128,[218797],1,1
74969,226209,[311291],1,1
185119,29217,[341269],1,1
156553,6086,[187081],1,1
271625,46344,[812101],1,1
241913,269053,[476059],1,1
163480,124983,[289843],1,1
95343,44552,[316373],1,1
69841,142077,[247991],1,1
58540,192768,[487021],1,1
238972,223813,[940297],1,1
109331,180053,[319237],1,1
279208,104983,[912727],1,1
296916,376361,[431203],1,1
7121,1475,"[108061, 107881]",2,2
299957,582610,[645763],1,1
175671,148504,[230653],1,1
298048,252845,[451249],1,1
67209,330803,[367501],1,1
214510,196456,[403181],1,1
219821,77993,[238657],1,1
255006,4392,[595411],1,1
169904,133676,[273527],1,1
874256,475844,[997057],1,1
364300,200469,[925271],1,1
123016,367446,[774733],1,1
83226,15157,[145771],1,1
182498,195812,[415979],1,1
27,18593,[260339],1,1
71296,581832,[939581],1,1
109908,190705,[214993],1,1
56220,317482,[827293],1,1
184051,179613,[271409],1,1
86803,56360,[491213],1,1
792,226092,"[326657, 325753]",2,1
43994,125079,[208759],1,1
84035,584166,[717113],1,1
173502,116917,[387707],1,1
104654,108197,[115151],1,1
479569,115942,[564761],1,1
917553,181948,[950473],1,1
41854,484993,[674941],1,1
159988,502636,[679219],1,1
